timestamp,dataset,algorithm,spark_version,features,partitions,lambda,max_iterations,actual_iterations,runtime_sec,accuracy_percent,model_norm,non_zero_weights,total_weights,non_zero_percent,convergence_status,train_file,test_file
2025-07-13T07:31:33.474,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.448,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:48:33.839,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.652,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:52:10.519,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.542,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:42:33.470,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.905,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T07:45:45.392,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.502,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T21:22:46.626,higgs,lbfgs,2_4,27,8,0.01,100,100,3.47,64.07,2.775453,27,27,100,max_iterations,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:25:03.821,higgs,lbfgs,2_4,27,8,0.01,100,100,3.512,64.07,2.775453,27,27,100,max_iterations,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:27:02.157,higgs,lbfgs,2_4,27,8,0.01,100,100,3.539,64.07,2.775453,27,27,100,max_iterations,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:29:02.355,higgs,lbfgs,2_4,27,8,0.01,100,100,3.544,64.07,2.775453,27,27,100,max_iterations,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T21:31:24.765,higgs,lbfgs,2_4,27,8,0.01,100,100,3.438,64.07,2.775453,27,27,100,max_iterations,higgs_train15k.binary,higgs_test10k.binary
2025-07-13T03:13:31.134,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.845,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:16:51.005,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.741,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:07:56.730,rcv1,lbfgs,2_4,47236,5,0.01,100,100,9.808,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:10:52.087,rcv1,lbfgs,2_4,47236,8,0.01,100,100,8.201,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:26:53.842,rcv1,lbfgs,2_4,47236,10,0.01,100,100,8.427,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:30:22.107,rcv1,lbfgs,2_4,47236,15,0.01,100,100,9.406,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:21:16.154,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.79,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:24:12.727,rcv1,lbfgs,2_4,47236,8,0.01,100,100,7.369,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:40:36.985,rcv1,lbfgs,2_4,47236,10,0.01,100,100,10.53,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:44:06.189,rcv1,lbfgs,2_4,47236,15,0.01,100,100,8.816,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
2025-07-13T03:34:55.727,rcv1,lbfgs,2_4,47236,5,0.01,100,100,5.93,94.69,472.918262,39378,47236,83.36,max_iterations,rcv1_train15k.binary,rcv1_test10k.binary
